"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2023","9,656.13","9,748.23","9,762.43","9,651.55","105.66M","-0.94%"
"09/04/2023","9,748.23","9,786.63","9,812.78","9,734.49","112.30M","-0.39%"
"09/01/2023","9,786.63","9,810.21","9,815.73","9,768.13","107.61M","-0.24%"
"08/31/2023","9,810.21","9,744.22","9,825.51","9,738.99","103.26M","0.68%"
"08/30/2023","9,744.22","9,762.06","9,771.25","9,744.22","111.88M","-0.18%"
"08/29/2023","9,762.06","9,749.27","9,779.90","9,743.35","89.28M","0.13%"
"08/28/2023","9,749.27","9,765.37","9,775.13","9,744.92","139.12M","-0.16%"
"08/25/2023","9,765.37","9,771.42","9,796.10","9,760.23","179.59M","-0.06%"
"08/24/2023","9,771.42","9,729.10","9,775.72","9,729.10","150.86M","0.43%"
"08/23/2023","9,729.10","9,766.47","9,782.03","9,729.10","115.06M","-0.38%"
"08/22/2023","9,766.47","9,776.34","9,811.84","9,766.47","203.82M","-0.10%"
"08/21/2023","9,776.34","9,800.65","9,814.55","9,776.34","178.68M","-0.25%"
"08/18/2023","9,800.65","9,777.87","9,801.98","9,775.58","178.89M","0.23%"
"08/17/2023","9,777.87","9,780.79","9,799.82","9,773.61","137.22M","-0.03%"
"08/16/2023","9,780.79","9,807.19","9,812.25","9,754.02","152.28M","-0.27%"
"08/15/2023","9,807.19","9,848.32","9,860.87","9,807.19","180.69M","-0.42%"
"08/14/2023","9,848.32","9,879.70","9,917.43","9,848.32","168.22M","-0.32%"
"08/11/2023","9,879.70","9,904.25","9,935.43","9,879.70","189.78M","-0.25%"
"08/10/2023","9,904.25","9,953.19","9,988.03","9,901.60","199.13M","-0.49%"
"08/09/2023","9,953.19","9,989.84","10,051.61","9,953.19","185.25M","-0.37%"
"08/08/2023","9,989.84","9,824.20","10,008.98","9,824.20","220.45M","1.69%"
"08/07/2023","9,824.20","9,786.42","9,846.98","9,762.20","211.74M","0.39%"
"08/04/2023","9,786.42","9,783.51","9,848.45","9,783.51","196.58M","0.03%"
"08/03/2023","9,783.51","9,826.11","9,826.11","9,783.51","273.97M","-0.43%"
"08/02/2023","9,826.11","9,778.63","9,839.99","9,770.68","337.22M","0.49%"
"08/01/2023","9,778.63","9,787.13","9,792.43","9,575.72","204.45M","-0.09%"
"07/31/2023","9,787.13","9,760.83","9,787.13","9,758.17","282.06M","0.27%"
"07/28/2023","9,760.83","9,759.46","9,782.22","9,755.95","184.72M","0.01%"
"07/27/2023","9,759.46","9,765.54","9,777.59","9,755.69","259.98M","-0.06%"
"07/26/2023","9,765.54","9,727.47","9,769.70","9,722.02","178.43M","0.39%"
"07/25/2023","9,727.47","9,740.48","9,750.32","9,721.62","290.95M","-0.13%"
"07/24/2023","9,740.48","9,629.31","9,740.48","9,629.31","176.82M","1.15%"
"07/20/2023","9,629.31","9,665.47","9,665.47","9,629.31","105.95M","-0.37%"
"07/19/2023","9,665.47","9,697.61","9,707.00","9,650.68","143.88M","-0.33%"
"07/18/2023","9,697.61","9,681.15","9,697.61","9,668.40","147.63M","0.17%"
"07/17/2023","9,681.15","9,671.89","9,681.51","9,643.30","211.25M","0.10%"
"07/14/2023","9,671.89","9,627.04","9,671.89","9,627.04","119.55M","0.47%"
"07/13/2023","9,627.04","9,621.62","9,646.67","9,599.25","224.30M","0.06%"
"07/12/2023","9,621.62","9,589.29","9,626.52","9,570.79","202.95M","0.34%"
"07/11/2023","9,589.29","9,584.78","9,626.89","9,584.78","154.07M","0.05%"
"07/10/2023","9,584.78","9,604.15","9,633.69","9,584.78","157.42M","-0.20%"
"07/07/2023","9,604.15","9,604.41","9,618.17","9,581.70","144.03M","0.00%"
"07/06/2023","9,604.41","9,618.81","9,622.18","9,557.02","203.55M","-0.15%"
"07/05/2023","9,618.81","9,582.87","9,618.81","9,582.87","233.50M","0.38%"
"07/04/2023","9,582.87","9,561.92","9,606.83","9,556.47","188.09M","0.22%"
"07/03/2023","9,561.92","9,550.40","9,561.92","9,521.35","199.37M","0.12%"
"06/26/2023","9,550.40","9,556.90","9,574.13","9,506.81","134.33M","-0.07%"
"06/23/2023","9,556.90","9,528.11","9,585.32","9,515.27","136.00M","0.30%"
"06/22/2023","9,528.11","9,490.47","9,530.23","9,476.42","104.76M","0.40%"
"06/21/2023","9,490.47","9,463.83","9,490.47","9,456.62","119.51M","0.28%"
"06/20/2023","9,463.83","9,453.32","9,463.83","9,415.88","134.48M","0.11%"
"06/19/2023","9,453.32","9,446.59","9,453.32","9,421.83","104.07M","0.07%"
"06/16/2023","9,446.59","9,384.73","9,446.59","9,384.73","95.24M","0.66%"
"06/15/2023","9,384.73","9,392.56","9,398.12","9,365.95","106.21M","-0.08%"
"06/14/2023","9,392.56","9,351.25","9,392.56","9,351.25","148.49M","0.44%"
"06/13/2023","9,351.25","9,380.18","9,399.67","9,351.25","157.61M","-0.31%"
"06/12/2023","9,380.18","9,368.76","9,390.47","9,359.07","118.28M","0.12%"
"06/09/2023","9,368.76","9,351.82","9,386.54","9,344.88","99.05M","0.18%"
"06/08/2023","9,351.82","9,377.43","9,381.24","9,334.96","125.62M","-0.27%"
"06/07/2023","9,377.43","9,356.98","9,377.43","9,342.77","116.23M","0.22%"
"06/06/2023","9,356.98","9,375.76","9,380.38","9,351.61","100.00M","-0.20%"
"06/05/2023","9,375.76","9,406.08","9,442.86","9,346.42","96.88M","-0.32%"
"06/02/2023","9,406.08","9,366.41","9,406.08","9,345.24","109.94M","0.42%"
"06/01/2023","9,366.41","9,406.57","9,442.28","9,366.41","147.02M","-0.43%"
"05/31/2023","9,406.57","9,484.27","9,491.58","9,406.57","134.97M","-0.82%"
"05/30/2023","9,484.27","9,412.27","9,516.12","9,412.27","143.92M","0.76%"
"05/29/2023","9,412.27","9,453.42","9,468.54","9,412.27","155.99M","-0.44%"
"05/26/2023","9,453.42","9,400.52","9,470.54","9,389.69","97.51M","0.56%"
"05/25/2023","9,400.52","9,464.31","9,478.39","9,400.52","112.29M","-0.67%"
"05/24/2023","9,464.31","9,489.89","9,525.74","9,457.22","121.19M","-0.27%"
"05/23/2023","9,489.89","9,527.42","9,565.76","9,489.89","127.24M","-0.39%"
"05/22/2023","9,527.42","9,478.69","9,542.39","9,478.45","178.12M","0.51%"
"05/19/2023","9,478.69","9,508.67","9,513.39","9,478.69","93.85M","-0.32%"
"05/18/2023","9,508.67","9,525.97","9,526.24","9,472.78","112.83M","-0.18%"
"05/17/2023","9,525.97","9,475.66","9,525.97","9,452.32","124.11M","0.53%"
"05/16/2023","9,475.66","9,471.29","9,501.49","9,438.85","107.80M","0.05%"
"05/15/2023","9,471.29","9,634.80","9,659.47","9,471.29","161.84M","-1.70%"
"05/12/2023","9,634.80","9,669.82","9,673.62","9,611.04","131.25M","-0.36%"
"05/11/2023","9,669.82","9,723.99","9,723.99","9,662.46","159.54M","-0.56%"
"05/10/2023","9,723.99","9,689.36","9,723.99","9,673.85","244.05M","0.36%"
"05/09/2023","9,689.36","9,691.35","9,701.09","9,670.50","175.89M","-0.02%"
"05/08/2023","9,691.35","9,705.95","9,716.86","9,667.19","183.75M","-0.15%"
"05/05/2023","9,705.95","9,673.99","9,720.47","9,660.67","496.85M","0.33%"
"05/04/2023","9,673.99","9,644.95","9,673.99","9,627.29","281.80M","0.30%"
"05/03/2023","9,644.95","9,669.13","9,680.70","9,644.90","286.52M","-0.25%"
"05/02/2023","9,669.13","9,704.42","9,714.40","9,656.29","195.90M","-0.36%"
"05/01/2023","9,704.42","9,789.17","9,801.75","9,704.42","196.01M","-0.87%"
"04/28/2023","9,789.17","9,750.75","9,819.85","9,745.53","210.12M","0.39%"
"04/27/2023","9,750.75","9,675.96","9,750.75","9,673.11","217.53M","0.77%"
"04/26/2023","9,675.96","9,646.47","9,679.47","9,640.99","171.25M","0.31%"
"04/25/2023","9,646.47","9,654.22","9,670.78","9,635.17","182.90M","-0.08%"
"04/24/2023","9,654.22","9,633.78","9,654.22","9,584.10","196.99M","0.21%"
"04/19/2023","9,633.78","9,638.10","9,638.10","9,577.50","","-0.04%"
"04/18/2023","9,638.10","9,645.97","9,652.67","9,621.92","","-0.08%"
"04/17/2023","9,645.97","9,623.05","9,645.97","9,585.82","","0.24%"
"04/14/2023","9,623.05","9,558.10","9,624.24","9,550.18","","0.68%"
"04/13/2023","9,558.10","9,548.83","9,558.33","9,536.85","","0.10%"
"04/12/2023","9,548.83","9,510.98","9,548.83","9,502.62","","0.40%"
"04/11/2023","9,510.98","9,499.20","9,520.48","9,495.26","","0.12%"
"04/10/2023","9,499.20","9,461.69","9,503.34","9,450.87","","0.40%"
"04/07/2023","9,461.69","9,470.77","9,472.19","9,448.35","","-0.10%"
"04/06/2023","9,470.77","9,494.98","9,504.11","9,465.46","","-0.25%"
"04/05/2023","9,494.98","9,504.12","9,509.33","9,469.42","","-0.10%"
"04/04/2023","9,504.12","9,501.15","9,563.90","9,493.87","","0.03%"
"04/03/2023","9,501.15","9,430.25","9,501.15","9,430.25","","0.75%"
"03/31/2023","9,430.25","9,478.64","9,496.96","9,430.12","","-0.51%"
"03/30/2023","9,478.64","9,455.81","9,522.71","9,455.81","","0.24%"
"03/29/2023","9,455.81","9,457.16","9,507.17","9,450.93","","-0.01%"
"03/28/2023","9,457.16","9,422.54","9,457.16","9,420.91","","0.37%"
"03/27/2023","9,422.54","9,502.51","9,508.43","9,409.03","","-0.84%"
"03/24/2023","9,502.51","9,550.20","9,554.88","9,494.36","","-0.50%"
"03/23/2023","9,550.20","9,604.11","9,604.11","9,527.19","","-0.56%"
"03/22/2023","9,604.11","9,544.55","9,604.11","9,528.48","","0.62%"
"03/21/2023","9,544.55","9,545.34","9,585.90","9,502.95","","-0.01%"
"03/20/2023","9,545.34","9,650.10","9,650.10","9,476.44","","-1.09%"
"03/17/2023","9,650.10","9,441.88","9,650.10","9,441.88","","2.21%"
"03/16/2023","9,441.88","9,525.23","9,533.33","9,422.42","","-0.88%"
"03/15/2023","9,525.23","9,587.31","9,647.72","9,525.23","","-0.65%"
"03/14/2023","9,587.31","9,757.84","9,757.98","9,576.26","","-1.75%"
"03/13/2023","9,757.84","9,827.79","9,827.79","9,748.02","","-0.71%"
"03/10/2023","9,827.79","9,860.18","9,860.18","9,778.88","","-0.33%"
"03/09/2023","9,860.18","9,944.09","9,944.09","9,848.43","","-0.84%"
"03/08/2023","9,944.09","9,947.85","9,949.32","9,873.83","","-0.04%"
"03/07/2023","9,947.85","9,996.73","10,084.68","9,947.50","","-0.49%"
"03/06/2023","9,996.73","9,906.71","10,013.70","9,906.71","","0.91%"
"03/03/2023","9,906.71","9,868.13","9,906.71","9,845.52","","0.39%"
"03/02/2023","9,868.13","9,853.93","9,886.88","9,842.45","","0.14%"
"03/01/2023","9,853.93","9,844.81","9,867.21","9,837.02","","0.09%"
"02/28/2023","9,844.81","9,833.30","9,872.79","9,812.61","","0.12%"
"02/27/2023","9,833.30","9,858.87","9,877.50","9,833.30","","-0.26%"
"02/24/2023","9,858.87","9,844.49","9,889.25","9,808.72","","0.15%"
"02/23/2023","9,844.49","9,887.91","9,918.72","9,807.75","","-0.44%"
"02/22/2023","9,887.91","9,948.84","9,948.84","9,887.91","","-0.61%"
"02/21/2023","9,948.84","9,975.87","9,997.40","9,921.66","","-0.27%"
"02/20/2023","9,975.87","9,977.24","10,012.14","9,971.27","","-0.01%"
"02/17/2023","9,977.24","9,962.74","9,984.85","9,933.72","","0.15%"
"02/16/2023","9,962.74","9,990.10","9,993.34","9,962.40","","-0.27%"
"02/15/2023","9,990.10","10,020.37","10,020.37","9,949.05","","-0.30%"
"02/14/2023","10,020.37","10,010.22","10,020.37","9,962.43","","0.10%"
"02/13/2023","10,010.22","10,023.05","10,023.05","9,921.31","","-0.13%"
"02/10/2023","10,023.05","10,010.64","10,023.05","9,935.43","","0.12%"
"02/09/2023","10,010.64","10,007.57","10,010.64","9,890.96","","0.03%"
"02/08/2023","10,007.57","10,003.14","10,029.29","9,993.91","","0.04%"
"02/07/2023","10,003.14","10,001.55","10,021.18","9,972.47","","0.02%"
"02/06/2023","10,001.55","9,931.09","10,001.55","9,904.61","","0.71%"
"02/03/2023","9,931.09","9,858.42","9,931.09","9,818.32","","0.74%"
"02/02/2023","9,858.42","9,844.40","9,858.42","9,801.50","","0.14%"
"02/01/2023","9,844.40","9,811.56","9,889.14","9,792.67","","0.33%"
"01/31/2023","9,811.56","9,802.02","9,812.86","9,705.38","","0.10%"
"01/30/2023","9,802.02","9,737.59","9,802.02","9,407.56","","0.66%"
"01/27/2023","9,737.59","10,000.33","10,007.69","9,728.79","","-2.63%"
"01/26/2023","10,000.33","10,176.69","10,179.04","9,987.30","","-1.73%"
"01/25/2023","10,176.69","10,222.04","10,249.59","10,149.67","","-0.44%"
"01/24/2023","10,222.04","10,158.86","10,222.04","10,149.73","","0.62%"
"01/23/2023","10,158.86","10,186.71","10,191.43","10,134.04","","-0.27%"
"01/20/2023","10,186.71","10,191.61","10,213.91","10,162.29","","-0.05%"
"01/19/2023","10,191.61","10,240.67","10,240.67","10,186.62","","-0.48%"
"01/18/2023","10,240.67","10,273.21","10,277.40","10,217.51","","-0.32%"
"01/17/2023","10,273.21","10,263.97","10,289.41","10,220.46","","0.09%"
"01/16/2023","10,263.97","10,210.55","10,263.97","10,200.86","","0.53%"
"01/13/2023","10,210.26","10,152.99","10,228.52","10,140.36","","0.56%"
"01/12/2023","10,152.99","10,141.24","10,179.53","10,106.84","","0.12%"
"01/11/2023","10,141.24","10,209.69","10,245.96","10,141.24","","-0.67%"
"01/10/2023","10,209.69","10,170.37","10,209.69","10,129.43","","0.39%"
"01/09/2023","10,170.37","10,197.78","10,206.69","10,101.66","","-0.27%"
"01/06/2023","10,197.78","10,253.28","10,257.39","10,175.46","","-0.54%"
"01/05/2023","10,253.28","10,279.29","10,315.72","10,185.82","","-0.25%"
"01/04/2023","10,279.29","10,287.82","10,313.42","10,276.76","","-0.08%"
"01/03/2023","10,287.82","10,252.72","10,295.76","10,252.72","","0.34%"
"01/02/2023","10,252.72","10,211.09","10,261.84","10,211.09","","0.41%"
"12/30/2022","10,211.09","10,266.97","10,293.61","10,211.09","","-0.54%"
"12/29/2022","10,266.97","10,293.07","10,293.54","10,262.42","","-0.25%"
"12/28/2022","10,293.07","10,255.80","10,293.07","10,235.45","","0.36%"
"12/27/2022","10,255.80","10,252.53","10,274.22","10,239.35","","0.03%"
"12/26/2022","10,252.53","10,306.28","10,306.28","10,241.36","","-0.52%"
"12/23/2022","10,306.28","10,312.99","10,312.99","10,240.10","","-0.07%"
"12/22/2022","10,312.99","10,339.59","10,360.99","10,302.67","","-0.26%"
"12/21/2022","10,339.59","10,343.07","10,364.85","10,324.81","","-0.03%"
"12/20/2022","10,343.07","10,358.40","10,360.75","10,304.09","","-0.15%"
"12/19/2022","10,358.40","10,327.57","10,358.40","10,274.39","","0.30%"
"12/16/2022","10,327.57","10,168.33","10,327.57","10,153.58","","1.57%"
"12/15/2022","10,168.33","10,056.29","10,168.33","10,040.77","","1.11%"
"12/14/2022","10,056.29","10,049.74","10,093.82","10,024.86","","0.07%"
"12/13/2022","10,049.74","10,155.09","10,177.40","10,018.40","","-1.04%"
"12/12/2022","10,155.09","10,251.53","10,258.54","10,107.53","","-0.94%"
"12/09/2022","10,251.53","10,273.70","10,298.83","10,222.40","","-0.22%"
"12/08/2022","10,273.70","10,336.34","10,336.54","10,250.56","","-0.61%"
"12/07/2022","10,336.34","10,407.95","10,430.77","10,311.51","","-0.69%"
"12/06/2022","10,407.95","10,465.33","10,465.33","10,407.95","","-0.55%"
"12/05/2022","10,465.33","10,552.37","10,552.37","10,437.47","","-0.82%"
"11/30/2022","10,552.37","10,392.30","10,552.37","10,327.94","","1.54%"
"11/29/2022","10,392.30","10,406.34","10,441.39","10,347.06","","-0.13%"
"11/28/2022","10,406.34","10,528.49","10,535.39","10,406.34","","-1.16%"
"11/25/2022","10,528.49","10,534.66","10,534.66","10,492.36","","-0.06%"
"11/24/2022","10,534.66","10,528.73","10,534.66","10,494.84","","0.06%"
"11/23/2022","10,528.73","10,392.58","10,528.73","10,366.28","","1.31%"
"11/22/2022","10,392.58","10,399.28","10,400.20","10,355.23","","-0.06%"
"11/21/2022","10,399.28","10,466.15","10,466.15","10,364.65","","-0.64%"
"11/18/2022","10,466.15","10,424.93","10,466.15","10,395.08","","0.40%"
"11/17/2022","10,424.93","10,482.28","10,489.56","10,421.21","","-0.55%"
"11/16/2022","10,482.28","10,527.71","10,536.72","10,458.89","","-0.43%"
"11/15/2022","10,527.71","10,620.26","10,623.75","10,513.08","","-0.87%"
"11/14/2022","10,620.26","10,629.75","10,671.32","10,558.77","","-0.09%"
"11/11/2022","10,629.75","10,619.43","10,667.95","10,576.70","","0.10%"
"11/10/2022","10,619.43","10,618.07","10,629.01","10,583.28","","0.01%"
"11/09/2022","10,618.07","10,600.02","10,661.64","10,580.58","","0.17%"
"11/08/2022","10,600.02","10,606.70","10,649.91","10,552.98","","-0.06%"
"11/07/2022","10,606.70","10,482.34","10,606.70","10,460.77","","1.19%"
"11/04/2022","10,482.34","10,381.68","10,482.34","10,345.43","","0.97%"
"11/03/2022","10,381.68","10,433.23","10,459.84","10,355.86","","-0.49%"
"11/02/2022","10,433.23","10,416.06","10,433.23","10,366.13","","0.16%"
"11/01/2022","10,416.06","10,412.25","10,432.65","10,354.49","","0.04%"
"10/31/2022","10,412.25","10,286.89","10,412.25","10,267.99","","1.22%"
"10/28/2022","10,286.89","10,296.26","10,312.23","10,265.35","","-0.09%"
"10/27/2022","10,296.26","10,088.37","10,296.26","10,088.37","","2.06%"
"10/26/2022","10,088.37","10,060.00","10,099.62","10,045.81","","0.28%"
"10/25/2022","10,060.00","10,067.94","10,103.32","10,042.10","","-0.08%"
"10/24/2022","10,067.94","10,113.84","10,117.77","10,040.39","","-0.45%"
"10/21/2022","10,113.84","10,130.45","10,136.20","10,098.62","","-0.16%"
"10/20/2022","10,130.45","10,066.90","10,130.45","10,043.82","","0.63%"
"10/19/2022","10,066.90","10,084.40","10,100.60","10,048.93","","-0.17%"
"10/18/2022","10,084.40","9,742.31","10,084.40","9,742.31","","3.51%"
"10/17/2022","9,742.31","9,776.05","9,790.79","9,735.48","","-0.35%"
"10/14/2022","9,776.05","9,696.90","9,807.59","9,696.90","","0.82%"
"10/13/2022","9,696.90","9,733.50","9,749.10","9,696.90","","-0.38%"
"10/12/2022","9,733.50","9,754.17","9,776.10","9,716.46","","-0.21%"
"10/11/2022","9,754.17","9,830.84","9,851.69","9,754.17","","-0.78%"
"10/10/2022","9,830.84","9,905.37","9,905.37","9,830.84","","-0.75%"
"10/07/2022","9,905.37","9,891.98","9,937.40","9,891.98","","0.14%"
"10/06/2022","9,891.98","9,896.84","9,940.27","9,890.27","","-0.05%"
"10/05/2022","9,896.84","9,909.08","9,971.35","9,896.84","","-0.12%"
"10/04/2022","9,909.08","9,763.67","9,923.34","9,763.67","","1.49%"
"10/03/2022","9,763.67","9,750.82","9,763.67","9,695.86","","0.13%"
"09/30/2022","9,750.82","9,816.22","9,829.55","9,750.82","","-0.67%"
"09/29/2022","9,816.22","9,776.45","9,836.27","9,758.39","","0.41%"
"09/28/2022","9,776.45","9,733.43","9,832.29","9,724.81","","0.44%"
"09/27/2022","9,733.43","9,801.15","9,859.58","9,733.43","","-0.69%"
"09/26/2022","9,801.15","10,025.68","10,025.68","9,801.15","","-2.24%"
"09/23/2022","10,025.68","10,093.63","10,124.50","10,025.68","","-0.67%"
"09/22/2022","10,093.63","10,093.97","10,120.46","10,071.07","","0.00%"
"09/21/2022","10,093.97","10,135.47","10,174.26","10,093.97","","-0.41%"
"09/20/2022","10,135.47","10,095.65","10,174.62","10,085.65","","0.39%"
